country_code,X,fertility_rate_children_per_woman,carbon_dioxide_emissions,cell_subs_per_100,employment_to_pop_ratio,female_employment_to_pop_ratio,lowest_quint_income_share.csv,maternal_mortality,percent_children_malaria_nets,unmet_family_planning_need,urban_pop_in_slums,women_men_literacy_ratio,net_migration_per_1000
SYR,170,3.1,NA,70.9474196,NA,NA,NA,56,NA,16.4,19.3,0.97837,3.765
TCD,171,6.31,NA,39.75097997,NA,NA,NA,NA,9.8,28.3,88.2,0.81786,1.366
TGO,172,4.689,NA,68.96513263,NA,NA,NA,NA,42.8,33.6,51.2,NA,-0.328
THA,173,1.535,NA,144.4387195,71,63.5,NA,31.8,NA,6.9,25,NA,0.178
TJK,174,3.5,NA,95.12606037,NA,NA,NA,97,1,22.9,NA,1.00024,-2.021
TKM,175,3,NA,135.7804374,NA,NA,NA,NA,NA,13.1,NA,1.00124,-2.549
TLS,176,5.912,NA,58.73629754,NA,NA,NA,NA,41,31.5,NA,NA,-17.554
TON,177,3.789,NA,64.28314836,NA,NA,NA,76.1,NA,25.2,NA,NA,-15.978
TTO,178,1.796,NA,147.3377795,59.1,48.9,NA,45,NA,NA,NA,1.00017,-1.722
TUN,179,2.252,NA,128.4857675,39.4,19.2,NA,NA,NA,7,8,NA,-0.635
TUR,180,2.121,357498.1609,94.7933028,45.9,27.1,NA,19.4,NA,5.9,11.9,0.988172999,-0.143
TUV,215,NA,NA,38.40711542,NA,NA,NA,418,NA,24.2,NA,NA,NA
TZA,216,NA,NA,62.77433234,75.7,71.2,7.39,578,72,25.3,50.7,NA,NA
UGA,181,5.913,NA,52.42923963,NA,NA,5.81,438,42.8,34.7,53.6,NA,-0.865
UKR,182,1.489,304395.3806,144.082159,59.7,54.8,NA,25.8,NA,4.9,NA,1.0008,1.163
URY,183,2.04,NA,160.7951457,59.5,51.1,5.23,NA,NA,NA,NA,1.006810074,-2.985
USA,184,1.877,5375002.913,98.4068578,58.6,53.2,NA,NA,NA,8,NA,NA,3.335
UZB,185,2.38,NA,73.79116465,NA,NA,NA,NA,NA,13.7,NA,1.00102,-1.017
VCT,186,2.008,NA,105.1622459,NA,NA,NA,110,NA,NA,NA,NA,-9.396
VEN,187,2.405,NA,98.95200348,58.8,45.7,NA,63.4,NA,18.9,NA,NA,-0.204
VGB,217,NA,NA,169.5609551,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIR,188,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.717
VNM,189,1.962,NA,147.1108877,76,71.8,7.03,NA,9.4,6.1,27.2,NA,-2.032
VUT,190,3.411,NA,60.41440025,NA,NA,NA,86,51,24.2,NA,1.00371,1.019
WLF,218,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
WSM,191,4.164,NA,55.53012808,29.4,21.9,NA,46,NA,47.7,NA,1.00182,-16.793
YEM,192,4.4,NA,68.48627079,NA,NA,NA,365,NA,28.7,60.8,0.80451,-0.595
ZAF,193,2.55,NA,149.6818056,40,33.9,NA,NA,NA,13.8,23,1.007859794,2.5
ZMB,194,5.2,NA,67.33816426,68.7,NA,NA,NA,40.6,21.1,54,NA,-1.916
ZWE,195,4,NA,80.81642131,NA,NA,NA,NA,26.8,10.4,25.1,NA,-4.44
